"","SITE","SITEVISITID","TRANSECT","TAXONCODE_2","AdColCount","AdColDen","METHOD","Ave.od","Ad_pres","TRANSECTAREA_ad","OBS_YEAR","ISLAND","SEC_NAME","DEPTH_BIN","new_MIN_DEPTH_M","new_MAX_DEPTH_M"
"26","SWA-00802",11774,1,"PSSP_KN",0,0,"DIVER",NA,"-1",10,2018,"Swains","SWA_OPEN","Shallow",2.133496,2.438281
"27","SWA-00802",11774,1,"PVAR",0,0,"DIVER",NA,"-1",10,2018,"Swains","SWA_OPEN","Shallow",2.133496,2.438281
"28","SWA-00802",11774,1,"SPIS",0,0,"DIVER",NA,"-1",10,2018,"Swains","SWA_OPEN","Shallow",2.133496,2.438281
"29","SWA-00802",11774,1,"SSSS",21,2.1,"DIVER",22.1428571428571,"-1",10,2018,"Swains","SWA_OPEN","Shallow",2.133496,2.438281
"30","SWA-00530",8059,1,"ACSP_BR",3,0.352941176470588,"DIVER",1.66666666666667,"-1",8.5,2015,"Swains","SWA_SANCTUARY","Mid",9.753124048,13.71533069
"31","SWA-00530",8059,1,"ASTS_MD",0,0,"DIVER",NA,"-1",8.5,2015,"Swains","SWA_SANCTUARY","Mid",9.753124048,13.71533069
"32","SWA-00530",8059,1,"CMAY",0,0,"DIVER",NA,"-1",8.5,2015,"Swains","SWA_SANCTUARY","Mid",9.753124048,13.71533069
"33","SWA-00530",8059,1,"COSP_EM",0,0,"DIVER",NA,"-1",8.5,2015,"Swains","SWA_SANCTUARY","Mid",9.753124048,13.71533069
"34","SWA-00530",8059,1,"CYPS",0,0,"DIVER",NA,"-1",8.5,2015,"Swains","SWA_SANCTUARY","Mid",9.753124048,13.71533069
"35","SWA-00530",8059,1,"FSTE",0,0,"DIVER",NA,"-1",8.5,2015,"Swains","SWA_SANCTUARY","Mid",9.753124048,13.71533069
"36","SWA-00530",8059,1,"GEDW",0,0,"DIVER",NA,"-1",8.5,2015,"Swains","SWA_SANCTUARY","Mid",9.753124048,13.71533069
"37","SWA-00530",8059,1,"GONS",0,0,"DIVER",NA,"-1",8.5,2015,"Swains","SWA_SANCTUARY","Mid",9.753124048,13.71533069
"38","SWA-00530",8059,1,"HEXE",0,0,"DIVER",NA,"-1",8.5,2015,"Swains","SWA_SANCTUARY","Mid",9.753124048,13.71533069
"39","SWA-00530",8059,1,"LEPT",0,0,"DIVER",NA,"-1",8.5,2015,"Swains","SWA_SANCTUARY","Mid",9.753124048,13.71533069
"40","SWA-00530",8059,1,"LINC",0,0,"DIVER",NA,"-1",8.5,2015,"Swains","SWA_SANCTUARY","Mid",9.753124048,13.71533069
"41","SWA-00530",8059,1,"LMYC",0,0,"DIVER",NA,"-1",8.5,2015,"Swains","SWA_SANCTUARY","Mid",9.753124048,13.71533069
"42","SWA-00530",8059,1,"MOSP_EM",20,2.35294117647059,"DIVER",12.85,"-1",8.5,2015,"Swains","SWA_SANCTUARY","Mid",9.753124048,13.71533069
"43","SWA-00530",8059,1,"MOSP_FO",51,6,"DIVER",8.98039215686275,"-1",8.5,2015,"Swains","SWA_SANCTUARY","Mid",9.753124048,13.71533069
"44","SWA-00530",8059,1,"PAVS_EM",0,0,"DIVER",NA,"-1",8.5,2015,"Swains","SWA_SANCTUARY","Mid",9.753124048,13.71533069
"45","SWA-00530",8059,1,"PCHI",0,0,"DIVER",NA,"-1",8.5,2015,"Swains","SWA_SANCTUARY","Mid",9.753124048,13.71533069
"46","SWA-00530",8059,1,"PDUE",0,0,"DIVER",NA,"-1",8.5,2015,"Swains","SWA_SANCTUARY","Mid",9.753124048,13.71533069
"47","SWA-00530",8059,1,"PGWC",2,0.235294117647059,"DIVER",5,"-1",8.5,2015,"Swains","SWA_SANCTUARY","Mid",9.753124048,13.71533069
"48","SWA-00530",8059,1,"PLSP",0,0,"DIVER",NA,"-1",8.5,2015,"Swains","SWA_SANCTUARY","Mid",9.753124048,13.71533069
"49","SWA-00530",8059,1,"PMAL",0,0,"DIVER",NA,"-1",8.5,2015,"Swains","SWA_SANCTUARY","Mid",9.753124048,13.71533069
"50","SWA-00530",8059,1,"PMVC",25,2.94117647058824,"DIVER",5.64,"-1",8.5,2015,"Swains","SWA_SANCTUARY","Mid",9.753124048,13.71533069
"51","SWA-00530",8059,1,"POSP_EM",2,0.235294117647059,"DIVER",0,"-1",8.5,2015,"Swains","SWA_SANCTUARY","Mid",9.753124048,13.71533069
"52","SWA-00530",8059,1,"POSP_MD",1,0.117647058823529,"DIVER",30,"-1",8.5,2015,"Swains","SWA_SANCTUARY","Mid",9.753124048,13.71533069
"53","SWA-00530",8059,1,"PSPE",0,0,"DIVER",NA,"-1",8.5,2015,"Swains","SWA_SANCTUARY","Mid",9.753124048,13.71533069
"54","SWA-00530",8059,1,"PSSP_EM",0,0,"DIVER",NA,"-1",8.5,2015,"Swains","SWA_SANCTUARY","Mid",9.753124048,13.71533069
"55","SWA-00530",8059,1,"PSSP_KN",2,0.235294117647059,"DIVER",7.5,"-1",8.5,2015,"Swains","SWA_SANCTUARY","Mid",9.753124048,13.71533069
"56","SWA-00530",8059,1,"PVAR",1,0.117647058823529,"DIVER",0,"-1",8.5,2015,"Swains","SWA_SANCTUARY","Mid",9.753124048,13.71533069
"57","SWA-00530",8059,1,"SPIS",1,0.117647058823529,"DIVER",0,"-1",8.5,2015,"Swains","SWA_SANCTUARY","Mid",9.753124048,13.71533069
"58","SWA-00530",8059,1,"SSSS",108,12.7058823529412,"DIVER",8.48148148148148,"-1",8.5,2015,"Swains","SWA_SANCTUARY","Mid",9.753124048,13.71533069
"59","SWA-00576",8096,1,"ACSP_BR",1,0.1,"DIVER",0,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.09570253
"60","SWA-00576",8096,1,"ASTS_MD",0,0,"DIVER",NA,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.09570253
"61","SWA-00576",8096,1,"CMAY",0,0,"DIVER",NA,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.09570253
"62","SWA-00576",8096,1,"COSP_EM",1,0.1,"DIVER",50,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.09570253
"63","SWA-00576",8096,1,"CYPS",0,0,"DIVER",NA,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.09570253
"64","SWA-00576",8096,1,"FSTE",2,0.2,"DIVER",0,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.09570253
"65","SWA-00576",8096,1,"GEDW",0,0,"DIVER",NA,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.09570253
"66","SWA-00576",8096,1,"GONS",0,0,"DIVER",NA,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.09570253
"67","SWA-00576",8096,1,"HEXE",0,0,"DIVER",NA,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.09570253
"68","SWA-00576",8096,1,"LEPT",0,0,"DIVER",NA,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.09570253
"69","SWA-00576",8096,1,"LINC",1,0.1,"DIVER",15,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.09570253
"70","SWA-00576",8096,1,"LMYC",0,0,"DIVER",NA,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.09570253
"71","SWA-00576",8096,1,"MOSP_EM",9,0.9,"DIVER",10,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.09570253
"72","SWA-00576",8096,1,"MOSP_FO",88,8.8,"DIVER",16.7840909090909,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.09570253
"73","SWA-00576",8096,1,"PAVS_EM",0,0,"DIVER",NA,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.09570253
"74","SWA-00576",8096,1,"PCHI",0,0,"DIVER",NA,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.09570253
"75","SWA-00576",8096,1,"PDUE",2,0.2,"DIVER",25,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.09570253
"76","SWA-00576",8096,1,"PGWC",28,2.8,"DIVER",5.28571428571429,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.09570253
"77","SWA-00576",8096,1,"PLSP",0,0,"DIVER",NA,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.09570253
"78","SWA-00576",8096,1,"PMAL",0,0,"DIVER",NA,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.09570253
"79","SWA-00576",8096,1,"PMVC",107,10.7,"DIVER",3.83177570093458,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.09570253
"80","SWA-00576",8096,1,"POSP_EM",6,0.6,"DIVER",8.33333333333333,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.09570253
"81","SWA-00576",8096,1,"POSP_MD",5,0.5,"DIVER",19,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.09570253
"82","SWA-00576",8096,1,"PSPE",0,0,"DIVER",NA,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.09570253
"83","SWA-00576",8096,1,"PSSP_EM",2,0.2,"DIVER",0,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.09570253
"84","SWA-00576",8096,1,"PSSP_KN",0,0,"DIVER",NA,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.09570253
"85","SWA-00576",8096,1,"PVAR",0,0,"DIVER",NA,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.09570253
"86","SWA-00576",8096,1,"SPIS",2,0.2,"DIVER",0,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.09570253
"87","SWA-00576",8096,1,"SSSS",254,25.4,"DIVER",9.38976377952756,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.09570253
"88","SWA-00606",8109,1,"ACSP_BR",1,0.1,"DIVER",0,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,5.790917403
"89","SWA-00606",8109,1,"ASTS_MD",0,0,"DIVER",NA,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,5.790917403
"90","SWA-00606",8109,1,"CMAY",0,0,"DIVER",NA,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,5.790917403
"91","SWA-00606",8109,1,"COSP_EM",5,0.5,"DIVER",0,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,5.790917403
"92","SWA-00606",8109,1,"CYPS",0,0,"DIVER",NA,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,5.790917403
"93","SWA-00606",8109,1,"FSTE",0,0,"DIVER",NA,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,5.790917403
"94","SWA-00606",8109,1,"GEDW",0,0,"DIVER",NA,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,5.790917403
"95","SWA-00606",8109,1,"GONS",0,0,"DIVER",NA,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,5.790917403
"96","SWA-00606",8109,1,"HEXE",0,0,"DIVER",NA,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,5.790917403
"97","SWA-00606",8109,1,"LEPT",0,0,"DIVER",NA,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,5.790917403
"98","SWA-00606",8109,1,"LINC",1,0.1,"DIVER",0,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,5.790917403
"99","SWA-00606",8109,1,"LMYC",0,0,"DIVER",NA,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,5.790917403
"100","SWA-00606",8109,1,"MOSP_EM",11,1.1,"DIVER",20.4545454545455,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,5.790917403
"101","SWA-00606",8109,1,"MOSP_FO",59,5.9,"DIVER",11.6440677966102,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,5.790917403
"102","SWA-00606",8109,1,"PAVS_EM",0,0,"DIVER",NA,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,5.790917403
"103","SWA-00606",8109,1,"PCHI",0,0,"DIVER",NA,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,5.790917403
"104","SWA-00606",8109,1,"PDUE",1,0.1,"DIVER",10,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,5.790917403
"105","SWA-00606",8109,1,"PGWC",22,2.2,"DIVER",2.5,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,5.790917403
"106","SWA-00606",8109,1,"PLSP",0,0,"DIVER",NA,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,5.790917403
"107","SWA-00606",8109,1,"PMAL",0,0,"DIVER",NA,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,5.790917403
"108","SWA-00606",8109,1,"PMVC",55,5.5,"DIVER",0.909090909090909,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,5.790917403
"109","SWA-00606",8109,1,"POSP_EM",6,0.6,"DIVER",2.5,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,5.790917403
"110","SWA-00606",8109,1,"POSP_MD",3,0.3,"DIVER",3.33333333333333,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,5.790917403
"111","SWA-00606",8109,1,"PSPE",0,0,"DIVER",NA,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,5.790917403
"112","SWA-00606",8109,1,"PSSP_EM",6,0.6,"DIVER",11.6666666666667,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,5.790917403
"113","SWA-00606",8109,1,"PSSP_KN",0,0,"DIVER",NA,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,5.790917403
"114","SWA-00606",8109,1,"PVAR",1,0.1,"DIVER",5,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,5.790917403
"115","SWA-00606",8109,1,"SPIS",0,0,"DIVER",NA,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,5.790917403
"116","SWA-00606",8109,1,"SSSS",171,17.1,"DIVER",6.5906432748538,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,5.790917403
"117","SWA-00609",8112,1,"ACSP_BR",1,0.1,"DIVER",0,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.400487656
"118","SWA-00609",8112,1,"ASTS_MD",0,0,"DIVER",NA,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.400487656
"119","SWA-00609",8112,1,"CMAY",0,0,"DIVER",NA,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.400487656
"120","SWA-00609",8112,1,"COSP_EM",0,0,"DIVER",NA,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.400487656
"121","SWA-00609",8112,1,"CYPS",0,0,"DIVER",NA,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.400487656
"122","SWA-00609",8112,1,"FSTE",1,0.1,"DIVER",5,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.400487656
"123","SWA-00609",8112,1,"GEDW",0,0,"DIVER",NA,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.400487656
"124","SWA-00609",8112,1,"GONS",0,0,"DIVER",NA,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.400487656
"125","SWA-00609",8112,1,"HEXE",0,0,"DIVER",NA,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.400487656
"126","SWA-00609",8112,1,"LEPT",0,0,"DIVER",NA,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.400487656
"127","SWA-00609",8112,1,"LINC",1,0.1,"DIVER",10,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.400487656
"128","SWA-00609",8112,1,"LMYC",0,0,"DIVER",NA,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.400487656
"129","SWA-00609",8112,1,"MOSP_EM",5,0.5,"DIVER",15,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.400487656
"130","SWA-00609",8112,1,"MOSP_FO",52,5.2,"DIVER",14.5961538461538,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.400487656
"131","SWA-00609",8112,1,"PAVS_EM",0,0,"DIVER",NA,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.400487656
"132","SWA-00609",8112,1,"PCHI",0,0,"DIVER",NA,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.400487656
"133","SWA-00609",8112,1,"PDUE",2,0.2,"DIVER",0,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.400487656
"134","SWA-00609",8112,1,"PGWC",4,0.4,"DIVER",0.5,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.400487656
"135","SWA-00609",8112,1,"PLSP",0,0,"DIVER",NA,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.400487656
"136","SWA-00609",8112,1,"PMAL",1,0.1,"DIVER",10,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.400487656
"137","SWA-00609",8112,1,"PMVC",62,6.2,"DIVER",5.2741935483871,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.400487656
"138","SWA-00609",8112,1,"POSP_EM",7,0.7,"DIVER",10.7142857142857,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.400487656
"139","SWA-00609",8112,1,"POSP_MD",4,0.4,"DIVER",5,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.400487656
"140","SWA-00609",8112,1,"PSPE",0,0,"DIVER",NA,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.400487656
"141","SWA-00609",8112,1,"PSSP_EM",1,0.1,"DIVER",60,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.400487656
"142","SWA-00609",8112,1,"PSSP_KN",0,0,"DIVER",NA,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.400487656
"143","SWA-00609",8112,1,"PVAR",0,0,"DIVER",NA,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.400487656
"144","SWA-00609",8112,1,"SPIS",2,0.2,"DIVER",5,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.400487656
"145","SWA-00609",8112,1,"SSSS",143,14.3,"DIVER",9.46153846153846,"-1",10,2015,"Swains","SWA_SANCTUARY","Shallow",4.571776897,6.400487656
"146","SWA-00941",51166,1,"ACSP_BR",12,1.2,"DIVER",0.916666666666667,"-1",10,2023,"Swains","SWA_SANCTUARY","Shallow",4.266991771,5.486132277
"147","SWA-00941",51166,1,"ASTS_MD",1,0.1,"DIVER",15,"-1",10,2023,"Swains","SWA_SANCTUARY","Shallow",4.266991771,5.486132277
"148","SWA-00941",51166,1,"CMAY",0,0,"DIVER",NA,"-1",10,2023,"Swains","SWA_SANCTUARY","Shallow",4.266991771,5.486132277
"149","SWA-00941",51166,1,"COSP_EM",1,0.1,"DIVER",0,"-1",10,2023,"Swains","SWA_SANCTUARY","Shallow",4.266991771,5.486132277
"150","SWA-00941",51166,1,"CYPS",0,0,"DIVER",NA,"-1",10,2023,"Swains","SWA_SANCTUARY","Shallow",4.266991771,5.486132277
"151","SWA-00941",51166,1,"FSTE",1,0.1,"DIVER",1,"-1",10,2023,"Swains","SWA_SANCTUARY","Shallow",4.266991771,5.486132277
"152","SWA-00941",51166,1,"GEDW",0,0,"DIVER",NA,"-1",10,2023,"Swains","SWA_SANCTUARY","Shallow",4.266991771,5.486132277
"153","SWA-00941",51166,1,"GONS",0,0,"DIVER",NA,"-1",10,2023,"Swains","SWA_SANCTUARY","Shallow",4.266991771,5.486132277
"154","SWA-00941",51166,1,"HEXE",0,0,"DIVER",NA,"-1",10,2023,"Swains","SWA_SANCTUARY","Shallow",4.266991771,5.486132277
"155","SWA-00941",51166,1,"LEPT",0,0,"DIVER",NA,"-1",10,2023,"Swains","SWA_SANCTUARY","Shallow",4.266991771,5.486132277
"156","SWA-00941",51166,1,"LINC",0,0,"DIVER",NA,"-1",10,2023,"Swains","SWA_SANCTUARY","Shallow",4.266991771,5.486132277
"157","SWA-00941",51166,1,"LMYC",1,0.1,"DIVER",5,"-1",10,2023,"Swains","SWA_SANCTUARY","Shallow",4.266991771,5.486132277
"158","SWA-00941",51166,1,"MOSP_EM",38,3.8,"DIVER",13.8947368421053,"-1",10,2023,"Swains","SWA_SANCTUARY","Shallow",4.266991771,5.486132277
"159","SWA-00941",51166,1,"MOSP_FO",24,2.4,"DIVER",12.5416666666667,"-1",10,2023,"Swains","SWA_SANCTUARY","Shallow",4.266991771,5.486132277
"160","SWA-00941",51166,1,"PAVS_EM",0,0,"DIVER",NA,"-1",10,2023,"Swains","SWA_SANCTUARY","Shallow",4.266991771,5.486132277
"161","SWA-00941",51166,1,"PCHI",0,0,"DIVER",NA,"-1",10,2023,"Swains","SWA_SANCTUARY","Shallow",4.266991771,5.486132277
"162","SWA-00941",51166,1,"PDUE",0,0,"DIVER",NA,"-1",10,2023,"Swains","SWA_SANCTUARY","Shallow",4.266991771,5.486132277
"163","SWA-00941",51166,1,"PGWC",4,0.4,"DIVER",8.75,"-1",10,2023,"Swains","SWA_SANCTUARY","Shallow",4.266991771,5.486132277
"164","SWA-00941",51166,1,"PLSP",1,0.1,"DIVER",5,"-1",10,2023,"Swains","SWA_SANCTUARY","Shallow",4.266991771,5.486132277
"165","SWA-00941",51166,1,"PMAL",0,0,"DIVER",NA,"-1",10,2023,"Swains","SWA_SANCTUARY","Shallow",4.266991771,5.486132277
"166","SWA-00941",51166,1,"PMVC",35,3.5,"DIVER",10.8857142857143,"-1",10,2023,"Swains","SWA_SANCTUARY","Shallow",4.266991771,5.486132277
"167","SWA-00941",51166,1,"POSP_EM",7,0.7,"DIVER",17.8571428571429,"-1",10,2023,"Swains","SWA_SANCTUARY","Shallow",4.266991771,5.486132277
"168","SWA-00941",51166,1,"POSP_MD",5,0.5,"DIVER",8,"-1",10,2023,"Swains","SWA_SANCTUARY","Shallow",4.266991771,5.486132277
"169","SWA-00941",51166,1,"PSPE",0,0,"DIVER",NA,"-1",10,2023,"Swains","SWA_SANCTUARY","Shallow",4.266991771,5.486132277
"170","SWA-00941",51166,1,"PSSP_EM",1,0.1,"DIVER",0,"-1",10,2023,"Swains","SWA_SANCTUARY","Shallow",4.266991771,5.486132277
"171","SWA-00941",51166,1,"PSSP_KN",0,0,"DIVER",NA,"-1",10,2023,"Swains","SWA_SANCTUARY","Shallow",4.266991771,5.486132277
"172","SWA-00941",51166,1,"PVAR",0,0,"DIVER",NA,"-1",10,2023,"Swains","SWA_SANCTUARY","Shallow",4.266991771,5.486132277
"173","SWA-00941",51166,1,"SPIS",0,0,"DIVER",NA,"-1",10,2023,"Swains","SWA_SANCTUARY","Shallow",4.266991771,5.486132277
"174","SWA-00941",51166,1,"SSSS",131,13.1,"DIVER",11.0458015267176,"-1",10,2023,"Swains","SWA_SANCTUARY","Shallow",4.266991771,5.486132277
