"SITEVISITID","SITE","OBS_YEAR","DATE_","MISSIONID","OCC_SITEID","ANALYSIS_YEAR","ANALYSIS_SCHEME","SEC_NAME","EXCLUDE_FLAG","TRANSECT_PHOTOS","Oceanography","new_MIN_DEPTH_M","new_MAX_DEPTH_M","METHOD","REGION","ISLAND","PERM_SITE","CLIMATE_STATION_YN","LATITUDE","LONGITUDE","REEF_ZONE","DEPTH_BIN","AMNE","BGMA","BI","BR","BRY","CCAH","CCAR","CMOR","COL","EMA","ENC","FINE","FOL","FREE","GC","HAL","HARD","MASS","NS","OCTO","RUB","SAND","SG","SP","TAB","TUN","TURFH","TURFR","UI","UPMA","USC","ZO","TURF","POSP","HALI","CCA","ASSP","BRMA","ASPP","ACSP","POCS","PHSP","FASP","GONS","HYSP","HCOE","GOAL","LEPT","GASP","MISP","CYPS","ACAS","ASTS","MOSP","PAVS","COTS","PLSP","GRMA","STYS","RDMA","PADI","LPHY","MICR","COSP","FAVS","DICT","FUSP","MONS","LOBS","PACS","PSSP","ISSP","TURS","ECHP","MESP","OUSP","ECHL","DISP","SYSP","PLER","LESP","HYCO","EUSP","ANTI","N","new.N"
2143,"TUT-00220",2010,"2/17/2010","HA1001",NA,"2010","TUT10_12","TUT_SE_OPEN",0,"-1",0,3.3528,7.0104,"CPCE","SAMOA","Tutuila",0,0,-14.31296,-170.69319,"Forereef","Shallow",0,0,0,6.39097744360902,0,74.4360902255639,0,0,0,6.76691729323308,3.00751879699248,0,0,0,0,1.12781954887218,0,0.37593984962406,0,6.76691729323308,0,0,0,0,0,0,0.75187969924812,0,0,0.37593984962406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,266
2146,"TUT-00429",2010,"2/18/2010","HA1001",NA,"2010","TUT10_12","TUT_SE_OPEN",0,"-1",0,2,7,"CPCE","SAMOA","Tutuila",0,0,-14.32108,-170.69731,"Forereef","Shallow",0,0,0,11.8705035971223,0,56.1151079136691,0.359712230215827,0,0,10.0719424460432,6.11510791366906,0,0,0,0,0,2.51798561151079,1.07913669064748,2.51798561151079,3.59712230215827,0,0,0,0,0,0,5.39568345323741,0,0,0,0,0.359712230215827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,278
2149,"TUT-00318",2010,"2/18/2010","HA1001",NA,"2010","TUT10_12","TUT_SE_OPEN",0,"-1",0,4,7,"CPCE","SAMOA","Tutuila",0,0,-14.33562,-170.70432,"Forereef","Shallow",0,0,0,1.48148148148148,0,21.1111111111111,0,0,0,5.55555555555556,14.0740740740741,0,0,0,0,0,4.07407407407407,20.3703703703704,0,0.37037037037037,0,0,0,0,0.37037037037037,0,32.2222222222222,0,0,0.37037037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,270
2150,"TUT-00325",2010,"2/18/2010","HA1001",NA,"2010","TUT10_12","TUT_SE_OPEN",0,"-1",0,2,6,"CPCE","SAMOA","Tutuila",0,0,-14.31091,-170.6931,"Forereef","Shallow",0,0,0,3.86100386100386,0,45.1737451737452,0,0,0,23.9382239382239,5.79150579150579,0,0,0,0,0.386100386100386,8.10810810810811,2.31660231660232,0,0,0,0,0,0.772200772200772,0,0,8.49420849420849,0,0,0.772200772200772,0,0.386100386100386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,259
2151,"TUT-00309",2010,"2/18/2010","HA1001",NA,"2010","TUT10_12","TUT_SW_OPEN",0,"-1",0,19,23,"CPCE","SAMOA","Tutuila",0,0,-14.36741,-170.77136,"Forereef","Deep",0,0,0,0,0,18.5454545454545,4.36363636363636,0,0,6.54545454545455,22.5454545454545,0,0.727272727272727,0,0,0,0.727272727272727,1.45454545454545,0,0.727272727272727,0,1.81818181818182,0,0,0,0,33.0909090909091,9.45454545454546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,275
2152,"TUT-00254",2010,"2/18/2010","HA1001",NA,"2010","TUT10_12","TUT_SE_OPEN",0,"-1",0,10,16,"CPCE","SAMOA","Tutuila",0,0,-14.35507,-170.73053,"Forereef","Mid",0,0,0,8.24372759856631,0,36.5591397849462,0,0,0,7.16845878136201,13.2616487455197,0,0,0,0,0.3584229390681,0.716845878136201,3.584229390681,0,2.1505376344086,0,0.716845878136201,0,0.716845878136201,0,0,26.5232974910394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,279
2154,"TUT-00340",2010,"2/18/2010","HA1001",NA,"2010","TUT10_12","TUT_FAGATELE",0,"-1",0,7,11,"CPCE","SAMOA","Tutuila",0,0,-14.36436,-170.76218,"Forereef","Mid",0,0,0,5.72519083969466,0,32.824427480916,8.01526717557252,0,0,14.8854961832061,8.77862595419847,0,1.52671755725191,0.381679389312977,0,0.763358778625954,1.52671755725191,1.52671755725191,0,0,4.19847328244275,0,0,0.381679389312977,0,0,13.3587786259542,6.10687022900763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,262
2155,"TUT-00241",2010,"2/18/2010","HA1001",NA,"2010","TUT10_12","TUT_SE_OPEN",0,"-1",0,12,16,"CPCE","SAMOA","Tutuila",0,0,-14.34597,-170.71994,"Forereef","Mid",0,0,0,1.75438596491228,0,54.0350877192982,0.701754385964912,0,0,8.07017543859649,14.0350877192982,0,0,0,0,0,0.701754385964912,2.80701754385965,0,1.05263157894737,0.350877192982456,4.91228070175439,0,0,0.350877192982456,0,10.1754385964912,0.350877192982456,0,0,0,0.701754385964912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,285
2156,"TUT-00366",2010,"2/18/2010","HA1001",NA,"2010","TUT10_12","TUT_SE_OPEN",0,"-1",0,13,15,"CPCE","SAMOA","Tutuila",0,0,-14.33555,-170.70232,"Forereef","Mid",0,0,0,4.6594982078853,0,16.1290322580645,0,0,0,2.8673835125448,45.8781362007168,0,0,0,0,0,0,15.4121863799283,0,0.3584229390681,0,0.3584229390681,0,0.3584229390681,1.0752688172043,0.3584229390681,12.5448028673835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,279
2157,"TUT-00223",2010,"2/18/2010","HA1001",NA,"2010","TUT10_12","TUT_FAGALUA",0,"-1",0,2,5,"CPCE","SAMOA","Tutuila",0,0,-14.3596,-170.7506,"Forereef","Shallow",0,0,0,1.91570881226054,0,44.8275862068966,0,0,0,10.3448275862069,9.19540229885057,0,0,0,0,0,0.766283524904214,1.14942528735632,0,0,0,7.66283524904215,0,0,0.766283524904214,0,22.6053639846743,0,0,0.766283524904214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,261
2158,"TUT-00235",2010,"2/18/2010","HA1001",NA,"2010","TUT10_12","TUT_FAGALUA",0,"-1",0,9,14,"CPCE","SAMOA","Tutuila",0,0,-14.36006,-170.74939,"Forereef","Mid",0,0,0,11.231884057971,0,44.9275362318841,0.36231884057971,0,0,5.43478260869565,10.5072463768116,0,0,0,0,0,0,1.08695652173913,0,0.72463768115942,0,0.72463768115942,0,0.72463768115942,14.8550724637681,0,4.71014492753623,0,0,3.26086956521739,0,1.44927536231884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,276
2159,"TUT-00216",2010,"2/18/2010","HA1001",NA,"2010","TUT10_12","TUT_FAGATELE",0,"-1",0,16,26,"CPCE","SAMOA","Tutuila",0,0,-14.36471,-170.76341,"Forereef","Deep",0,0,0,1.43884892086331,0,40.6474820143885,7.55395683453237,0,0,5.03597122302158,13.6690647482014,0,0,0.359712230215827,0,4.31654676258993,0.719424460431655,1.07913669064748,0,0,0,4.31654676258993,0,0,0,0,7.55395683453237,12.2302158273381,0,1.07913669064748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,278
2160,"TUT-00339",2010,"2/19/2010","HA1001",NA,"2010","TUT10_12","TUT_SE_OPEN",0,"-1",0,14,17,"CPCE","SAMOA","Tutuila",0,0,-14.30098,-170.5779,"Forereef","Mid",0,0,0,1.79856115107914,0,16.1870503597122,0.359712230215827,0,0,15.4676258992806,3.23741007194245,0,0.359712230215827,0,0,0.359712230215827,1.07913669064748,8.27338129496403,0,0,0.359712230215827,0.719424460431655,0,0,0,0,48.5611510791367,3.23741007194245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,278
2161,"TUT-00356",2010,"2/19/2010","HA1001",NA,"2010","TUT10_12","TUT_NE_OPEN",0,"-1",0,6,14,"CPCE","SAMOA","Tutuila",0,0,-14.2757,-170.55298,"Forereef","Mid",0,0,0,0,0,9.31034482758621,0,0,0,16.551724137931,3.44827586206897,0,0,0,0,0,2.75862068965517,3.44827586206897,0,2.41379310344828,0,0,0,2.06896551724138,0,0,59.3103448275862,0.344827586206897,0,0.344827586206897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,290
2165,"TUT-00308",2010,"2/19/2010","HA1001",NA,"2010","TUT10_12","TUT_NE_OPEN",0,"-1",0,23,28,"CPCE","SAMOA","Tutuila",0,0,-14.25745,-170.5064335,"Forereef","Deep",0,0,0,0,0,5.90277777777778,1.38888888888889,0,0,12.8472222222222,1.04166666666667,0,0,0,0,0,0,1.38888888888889,0,0,0.347222222222222,0.347222222222222,0,0,0,0,71.5277777777778,5.20833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,288
2167,"TUT-00218",2010,"2/19/2010","HA1001",NA,"2010","TUT10_12","TUT_NE_OPEN",0,"-1",0,21,27,"CPCE","SAMOA","Tutuila",0,0,-14.27984,-170.56089,"Forereef","Deep",0,0,0,4.67625899280576,0,4.67625899280576,6.11510791366906,0,0,0.719424460431655,4.31654676258993,0,0,0.359712230215827,0,8.27338129496403,0,2.51798561151079,0,0,0.359712230215827,18.705035971223,0,0,0,0,18.705035971223,30.2158273381295,0,0.359712230215827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,278
2168,"TUT-00350",2010,"2/19/2010","HA1001",NA,"2010","TUT10_12","TUT_SE_OPEN",0,"-1",0,6,15,"CPCE","SAMOA","Tutuila",0,0,-14.27232,-170.61124,"Forereef","Mid",0,0,0,0.350877192982456,0,28.7719298245614,0,0,0,24.9122807017544,14.7368421052632,0,3.50877192982456,0,0,0,0.701754385964912,1.05263157894737,3.15789473684211,1.75438596491228,0,0.350877192982456,0,0,0,0,10.5263157894737,0,0,10.1754385964912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,285
2169,"TUT-00310",2010,"2/19/2010","HA1001",NA,"2010","TUT10_12","TUT_SE_OPEN",0,"-1",0,21,24,"CPCE","SAMOA","Tutuila",0,0,-14.27276,-170.61172,"Forereef","Deep",0,0,0,0,0,8.78378378378378,0.337837837837838,0,0,6.41891891891892,4.39189189189189,0,0.675675675675676,0,0,0.337837837837838,0,8.44594594594595,0,0,0,19.5945945945946,0,0,2.7027027027027,0,31.0810810810811,16.8918918918919,0,0,0,0.337837837837838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,296
2171,"TUT-00349",2010,"2/19/2010","HA1001",NA,"2010","TUT10_12","TUT_SE_OPEN",0,"-1",0,10,18,"CPCE","SAMOA","Tutuila",0,0,-14.2736,-170.61609,"Forereef","Mid",0,0,0,2.73972602739726,0,19.1780821917808,0,0,0.342465753424658,28.4246575342466,5.82191780821918,0,1.71232876712329,0,0,12.6712328767123,1.36986301369863,6.84931506849315,0,3.42465753424658,0,0,0,0.684931506849315,0.342465753424658,0,7.53424657534247,0.342465753424658,0,8.56164383561644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,292
2172,"TUT-00283",2010,"2/19/2010","HA1001",NA,"2010","TUT10_12","TUT_SE_OPEN",0,"-1",0,1,6,"CPCE","SAMOA","Tutuila",0,0,-14.27122,-170.60867,"Forereef","Shallow",0,0,0,1.40350877192982,0,20.3508771929825,0.350877192982456,0,0.350877192982456,1.75438596491228,35.0877192982456,0,0,0,0,0,0,0,0,1.05263157894737,0.350877192982456,1.05263157894737,0,0,0,0,20.7017543859649,16.4912280701754,0,1.05263157894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,285
2174,"TUT-00280",2010,"2/19/2010","HA1001",NA,"2010","TUT10_12","TUT_AUNUU_A",0,"-1",0,13,11,"CPCE","SAMOA","Tutuila",0,0,-14.29588,-170.56029,"Forereef","Mid",0,0,0,0.348432055749129,0,5.22648083623693,0,0,0,8.71080139372822,8.01393728222996,0,0,0,0,18.815331010453,0,13.2404181184669,0,0,0,0.696864111498258,0,0,0,0,44.5993031358885,0.348432055749129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,287
2175,"TUT-00317",2010,"2/19/2010","HA1001",NA,"2010","TUT10_12","TUT_SE_OPEN",0,"-1",0,8,16,"CPCE","SAMOA","Tutuila",0,0,-14.28333,-170.59865,"Forereef","Mid",0,0,0,1.41843971631206,0,37.9432624113475,0,0,0,28.0141843971631,4.60992907801418,0,0,0,0,10.6382978723404,0.709219858156028,0,0,8.51063829787234,0,0,0,0,0,0,1.41843971631206,0,0,6.73758865248227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,282
2177,"TUT-00265",2010,"2/20/2010","HA1001",NA,"2010","TUT10_12","TUT_SW_OPEN",0,"-1",0,28,30,"CPCE","SAMOA","Tutuila",0,0,-14.36475,-170.78351,"Forereef","Deep",0,0,0,3.46020761245675,0,11.4186851211073,2.07612456747405,0,0,3.11418685121107,38.0622837370242,0,0,0,0,0,1.03806228373702,3.11418685121107,0,3.11418685121107,0.346020761245675,19.0311418685121,0,0,1.3840830449827,0,10.0346020761246,3.46020761245675,0,0.346020761245675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,289
2178,"TUT-00234",2010,"2/20/2010","HA1001",NA,"2010","TUT10_12","TUT_SW_OPEN",0,"-1",0,9,13,"CPCE","SAMOA","Tutuila",0,0,-14.35907,-170.78438,"Forereef","Mid",0,0,0,12.1107266435986,0,39.4463667820069,0,0,0,4.49826989619377,15.5709342560554,0,0.346020761245675,0,0,0,0.346020761245675,1.3840830449827,0,4.1522491349481,0,4.84429065743945,0,0.69204152249135,4.84429065743945,0,11.4186851211073,0,0,0,0,0.346020761245675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,289
2179,"TUT-00285",2010,"2/20/2010","HA1001",NA,"2010","TUT10_12","TUT_SW_OPEN",0,"-1",0,3,4,"CPCE","SAMOA","Tutuila",0,0,-14.34014,-170.79024,"Forereef","Shallow",0,0,0,16.7259786476868,0,44.4839857651246,0,0,0,4.62633451957295,10.3202846975089,0,0,0,0,0,1.42348754448399,1.42348754448399,0,0,0,0,0,1.77935943060498,17.0818505338078,0,2.13523131672598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,281
2180,"TUT-00298",2010,"2/20/2010","HA1001",NA,"2010","TUT10_12","TUT_SW_OPEN",0,"-1",0,21,24,"CPCE","SAMOA","Tutuila",0,0,-14.36516,-170.77969,"Forereef","Deep",0,0,0,4.48275862068965,0,28.2758620689655,0,0,1.37931034482759,3.44827586206897,39.6551724137931,0,1.72413793103448,0,0,0,1.03448275862069,1.03448275862069,0,0,0,1.03448275862069,0,0,5.86206896551724,0,12.0689655172414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,290
